"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"26","Perciformes","Haemulidae","Haemulon","aurolineatum","Haemulon aurolineatum","Zotito","SAM","","","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","4.4","0.01514","2.99",0.0171263636363636,3.01488181818182,4.35
"27","Perciformes","Haemulidae","Haemulon","album","Haemulon album","Zapatero","SAM","","x","","NO","","","","","","","x","NINGUNO","","","","3.3","0.0123","2.99",0.015025,3.058,3.32
"28","Perciformes","Haemulidae","Haemulon","parra","Haemulon parra","Barraza","SAM","","x","","NO","","","","","x","","","NINGUNO","","","","3.5","0.01288","3.02",0.0195,3.021,3.47
"29","Perciformes","Haemulidae","Haemulon","melanurum","Haemulon melanurum","Zote","SAM","","","","NO","","","","","x","","","NINGUNO","","","","2.2","0.01698","3",0.0422,2.87075,2.17
"30","Perciformes","Haemulidae","Haemulon","macrostomum","Haemulon macrostomum","Chac-chi de cueva","SAM","","","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","3.3","0.01549","3.03",0.021,3.0445,NA
"31","Perciformes","Haemulidae","Haemulon","chrysargyreum","Haemulon chrysargyreum","Ronco boca chica","SAM","","","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","3.5","0.01259","2.99",0.0203666666666667,3.04246666666667,3.53
"32","Perciformes","Haemulidae","Haemulon","carbonarium","Haemulon carbonarium","Chac-chi cola negra","SAM","","x","","NO","","","","","x","","","NINGUNO","","","","3.7","0.01738","2.98",0.02755,2.898,3.68
"33","Perciformes","Haemulidae","Haemulon","striatum","Haemulon striatum","Ronco rayado","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3.4","ND","ND",0.0175,3.099,NA
"34","Perciformes","Pomacanthidae","Holacanthus","ciliaris","Holacanthus ciliaris","Angel reina","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3","0.0309","2.89",0.0336,2.9,2.99
"35","Perciformes","Pomacanthidae","Holacanthus","tricolor","Holacanthus tricolor","Chabelita tricolor","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3","0.03388","2.9",0.03155,2.992,3.01
"36","Perciformes","Labridae","Lachnolaimus","maximus","Lachnolaimus maximus","Boquinete","SAM","","x","","NO","","","x","","","","","Huachiango y pargo, Trucha de mar, Sierra y peto (Especie asociada)","","","","4.2","0.02138","2.98",0.027254,2.9582,4.17
"37","Perciformes","Lutjanidae","Lutjanus","apodus","Lutjanus apodus","Pargo amarillo","SAM","","x","","NO","","","","","","","x","Huachinango y pargo (Especies objetivo)","","","","4.3","0.01413","2.98",0.01927625,2.93845,4.25
"38","Perciformes","Lutjanidae","Lutjanus","mahogoni","Lutjanus mahogoni","Pargo ojón","SAM","","x","","NO","","","","","","","x","NINGUNO","","","","4.3","0.01698","2.96",0.06875,2.6445,4.33
"39","Perciformes","Lutjanidae","Lutjanus","griseus","Lutjanus griseus","Pargo mulato","SAM","","x","","NO","","","","","","","x","Huachinango y pargo (Especie objetivo); Robalo y chucumite, Jurel y cojinuda, Sierra y peto, Mero, negrillo y abadejo, Bandera y bagres (Especie asociada)","","","","4.2","0.01413","2.97",0.0351483333333333,2.91098333333333,4.23
"40","Perciformes","Lutjanidae","Lutjanus","synagris","Lutjanus synagris","Pargo rayado","SAM","","x","","NO","","","","","","","x","Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Sierra y peto, Mero, negrillo y abadejo, Bandera y bagres (Especie asociada)","","","","3.8","0.01445","2.97",0.0306566666666667,2.90102083333333,3.82
