"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"115","Perciformes","Sparidae","Calamus","brachysomus","Calamus brachysomus","Mojarra blanca","GdC","","x","","NO","","","","","x","","","Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada); Robalos (Centropomidae)(Especie Asociada); Sierras (Scrombridae)(Especie Asociada)","","","","3.8","ND","ND",0.398,2.876,3.8
"116","Tetraodontiformes","Monacanthidae","Cantherhines","dumerilii","Cantherhines dumerilii","Lija vagabunda/ Puerco Isleño","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.1","0.02455","2.92",0.0406,2.792,NA
"117","Tetraodontiformes","Tetraodontidae","Canthigaster","punctatissima","Canthigaster punctatissima","Botete bonito","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.1","0.0138","3.04",0.0323,2.953,NA
"118","Perciformes","Carangidae","Caranx","caballus","Caranx caballus","Jurel bonito","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.1","0.02089","2.98",0.02875,2.955,NA
"119","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","Pierna","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.9","ND","ND",0.0239,3,NA
"120","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","Pierna","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.9","ND","ND",0.0239,3,NA
"121","Perciformes","Serranidae","Cephalopholis","panamensis","Cephalopholis panamensis","Cabrilla piedrera / mero panameño / Enjambre","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","4.2","0.01445","3.07",0.0217,3.035,NA
"122","Perciformes","Chaetodontidae","Chaetodon","humeralis","Chaetodon humeralis","Mariposa muñeca","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.7","0.02188","3.02",0.029,3.048,NA
"123","Perciformes","Sciaenidae","Cheilotrema ","saturnum","Cheilotrema saturnum","Corvina roncacho/Corvina negra","GdC","","","","NO","","","","","","x","","NINGUNO","","","","3.6","0.00912","3.1",0.013,3.106,NA
"124","Perciformes","Pomacentridae","Chromis","atrilobata","Chromis atrilobata","Castaña cola de tijera","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.01413","3.06",0.00523,3.416,NA
"125","Perciformes","Pomacentridae","Chromis","limbaughi","Chromis limbaughi","Castaña mexicana","GdC","","","x","SI","","","","","x","","","NINGUNO","","x","","3.4","0.01549","2.98",0.0159,3.042,NA
"126","Perciformes","Cirrhitidae","Cirrhitichthys","oxycephalus","Cirrhitichthys oxycephalus","Halcón de coral","GdC","","","x","NO","","","","","","","x","NINGUNO","","","","4","0.0138","3.02",0.023475,3.0585,NA
"127","Perciformes","Cirrhitidae","Cirrhitus","rivulatus","Cirrhitus rivulatus","Chino mero","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4","ND","ND",0.02761,3,NA
"128","Perciformes","Tripterygiidae","Crocodilichthys","gracilis","Crocodilichthys gracilis","Tres aletas/Lagartija tres aletas","GdC","","","","NO","","","","","x","","","NINGUNO","","","","2.7","0.00562","3.03",0.00851,2.86,NA
"129","Perciformes","Gobiidae","Coryphopterus","urospilus","Coryphopterus urospilus","Gobio/Gobio semáforo","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00741","3.18",0.00616,3.314,NA
"130","Myliobatiformes","Dasyatidae","Dasyatis","dipterura","Dasyatis dipterura","Manta coludo o arenera","GdC","","x","","NO","","","","","","x","","NINGUNO","","","","3.5","0.01202","3.03",NA,NA,NA
"131","Tetraodontiformes","Diodontidae","Diodon","holocanthus","Diodon holocanthus","Pez globo / Pez erizo / mapache ","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.9","0.04365","2.87",0.1421,2.6874,3.85
"132","Tetraodontiformes","Diodontidae","Diodon","hystrix","Diodon hystrix","Pez erizo picoso","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.7","0.06607","2.84",0.336666666666667,2.36433333333333,3.67
"133","Torpediniformes","Narcinidae","Diplobatis","ommata","Diplobatis ommata","Raya eléctrica ","GdC","","x","","NO","","","x","","","","","NINGUNO","","","","3.3","0.01023","2.83",NA,NA,NA
"134","Anguilliformes","Muraenidae","Echidna ","nebulosa","Echidna nebulosa","Morena estrellada/Morena estriada","GdC","","","x","NO","","","","","","","x","NINGUNO","","","","4","ND","ND",0.00116,3,NA
"135","Perciformes","Gobiidae","Elacatinus ","puncticulatus","Elacatinus puncticulatus","Gobio/Gobio cabeza roja","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00661","3.12",0.00916,3.017,NA
"136","Perciformes","Gobiidae","Elacatinus ","puncticulatus","Elacatinus puncticulatus","Gobio/Gobio cabeza roja","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00661","3.12",0.00916,3.017,NA
"137","Perciformes","Gobiidae","Tigrigobius","limbaughi","Tigrigobius limbaughi","Gobio insólito","GdC","","","","NO","","","","","","","x","NINGUNO","","","","3.1","0.00832","3.2",0.00701,3.361,NA
"138","Perciformes","Gobiidae","Elacatinus ","puncticulatus","Elacatinus puncticulatus","Gobio","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00661","3.12",0.00916,3.017,NA
"139","Perciformes","Gobiidae","Elacatinus ","puncticulatus","Elacatinus puncticulatus","Gobio","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00661","3.12",0.00916,3.017,NA
"140","Perciformes","Carangidae","Elagatis ","bipinnulata","Elagatis bipinnulata","Macarela salmón","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.3","0.01072","2.89",0.01845,2.58,4.27
"141","Perciformes","Serranidae","Epinephelus","analogus","Epinephelus analogus","Cabrilla pinta / Cabrilla pinto","GdC","","x","","NO","","","","","x","","","Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada);Robalos (Centropomidae)","","","","3.8","ND","ND",0.01983,3,NA
"142","Perciformes","Serranidae","Epinephelus","labriformis","Epinephelus labriformis","Cabrilla piedreda","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","4","0.01585","3.05",0.03055,2.926,NA
"143","Syngnathiformes","Fistulariidae","Fistularia","commersonii","Fistularia commersonii","Pez corneta","GdC","","","x","NO","","","","","","","x","NINGUNO","","","","4.3","0.00282","2.91",0.00422333333333333,2.84666666666667,4.26
"144","Perciformes","Chaetodontidae","Forcipiger","flavissimus","Forcipiger flavissimus","Mariposa hocicona","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.1","ND","ND",0.01675,3,3.09
"145","Perciformes","Kyphosidae","Girella","simplicidens","Girella simplicidens","Chopa café / Chopa ojo azul","GdC","","x","","NO","","","","","x","","","NINGUNO","","","x","2.8","0.01549","3.03",NA,NA,NA
"146","Anguilliformes","Muraenidae","Gymnothorax","castaneus","Gymnothorax castaneus","Morena prieta o verde","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","4","0.00093","3.1",NA,NA,NA
"147","Anguilliformes","Muraenidae","Gymnothorax","dovii","Gymnothorax dovii","Morena","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.3","0.00093","3.1",NA,NA,NA
"148","Anguilliformes","Muraenidae","Gymnomuraena","zebra","Gymnomuraena zebra","Morena zebra","GdC","","","x","NO","","","","","","","x","NINGUNO","","","","3.4","0.0112","3.07",NA,NA,NA
"149","Perciformes","Haemulidae","Haemulon","flaviguttatum","Haemulon flaviguttatum","Rayadillo aleta amarilla / Burro / Ronco de rabo manchado","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","4.2","ND","ND",0.103,2.6,NA
"150","Perciformes","Haemulidae","Haemulon","maculicauda","Haemulon maculicauda","Rayadillo / Burro roncador rayado","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)","","","","4.2","0.01349","3.04",0.0409666666666667,3.03433333333333,NA
"151","Perciformes","Haemulidae","Haemulon "," scudderii","Haemulon scudderii","Burro pecoso/ Ronco prieto","GdC","","","","NO","","","","","x","","","NINGUNO","","","","4.2","0.01479","3.03",NA,NA,NA
"152","Perciformes","Haemulidae","Haemulon","sexfasciatum","Haemulon sexfasciatum","Burrito / Burro almejero","GdC","","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)","","","","4.2","0.0263","3.01",0.081,2.71,NA
"153","Perciformes","Haemulidae","Haemulon","steindachneri","Haemulon steindachneri","Burro latino/Ronco chere chere","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.7","0.0138","3.02",0.0197,3.06133333333333,3.73
"154","Perciformes","Labridae","Halichoeres","chierchiae","Halichoeres chierchiae","Vieja herida / Señorita herida","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.01","3.08",NA,NA,NA
"155","Perciformes","Labridae","Halichoeres","dispilus","Halichoeres dispilus","Vieja boca amarilla / Señorita cocinera","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.9","0.0038","3.1",NA,NA,NA
"156","Perciformes","Labridae","Halichoeres","melanotis","Halichoeres melanotis","Señorita dorada","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.5","0.01","3.08",NA,NA,NA
"157","Perciformes","Labridae","Halichoeres","nicholsi","Halichoeres nicholsi ","Vieja puntos negros","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","4","0.01","3.08",NA,NA,NA
"158","Perciformes","Labridae","Halichoeres","notospilus","Halichoeres notospilus","Vieja turquesa / Señorita listada ","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.01","3.08",NA,NA,NA
"159","Perciformes","Labridae","Halichoeres","semicinctus","Halichoeres semicinctus","Vieja puntos negros / Señorita roquera","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.3","0.01","3.08",NA,NA,NA
"160","Perciformes","Labridae","Halichoeres","semicinctus","Halichoeres semicinctus","Vieja puntos negros / Señorita roquera","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.3","0.01","3.08",NA,NA,NA
"161","Beloniformes","Hemiramphidae","Hemiramphus ","saltator","Hemiramphus saltator","Pajarito agujeta","GdC","","","","NO","","","","","x","","","NINGUNO","","","","4","0.00234","3.16",NA,NA,NA
"162","Anguilliformes","Congridae","Heteroconger ","digueti","Heteroconger digueti","Congrio de cortés","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.00102","3.06",NA,NA,NA
"163","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Heterodontus francisci","Tiburón cornudo","GdC","","x","","NO","","","","","","x","","NINGUNO","","","","3.2","0.00389","3.12",NA,NA,3.2
"164","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Heterodontus francisci","Tiburón cornudo","GdC","","x","","NO","","","","","","x","","NINGUNO","","","","3.2","0.00389","3.12",NA,NA,3.2
"165","Perciformes","Pomacanthidae","Holacanthus","clarionensis","Holacanthus clarionensis","Ángel/ Ángel de Clarión","GdC","","","x","SI","","","x","","","","","NINGUNO","","x","","2.6","0.02951","2.89",NA,NA,NA
"166","Perciformes","Pomacanthidae","Holacanthus","passer","Holacanthus passer","Ángel rey","GdC","","","x","SI","","","","","x","","","NINGUNO","","","x","2.6","0.03162","2.93",0.0271,3.084,NA
"167","Perciformes","Lutjanidae","Hoplopagrus","guentherii","Hoplopagrus guentherii","Coconaco","GdC","","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Objetivo); Robalo(Centropomidae)(Especie Asociada)","","","","3.8","ND","ND",0.0228,3,3.8
"168","Perciformes","Chaetodontidae","Johnrandallia","nigrirostris","Johnrandallia nigrirostris","Mariposa nariz negra","GdC","","","x","NO","","","","","x","","","NINGUNO","","","x","3","0.02754","3.09",0.021,3.215,NA
"169","Perciformes","Kyphosidae","Kyphosus","analogus","Kyphosus analogus","Chopa / Copa gris o rayada ","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","2","0.01778","3.01",NA,NA,NA
"170","Perciformes","Kyphosidae","Kyphosus","elegans","Kyphosus elegans","Chopa de Cortés","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","2.9","0.01778","3.01",NA,NA,NA
"171","Perciformes","Kyphosidae","Kyphosus","ocyurus","Kyphosus ocyurus","Chopa selema","GdC","","","","NO","","","","","","","x","NINGUNO","","","","3.5","0.0123","3.02",NA,NA,NA
"172","Perciformes","Labrisomidae","Labrisomus","xanti","Labrisomus xanti","Blenia bocona/Chalapo","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.01","3.07",0.00908,3.181,NA
"173","Perciformes","Lutjanidae","Lutjanus","argentiventris","Lutjanus argentiventris","Pargo amarillo","GdC","x","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Objetivo); Ostión (Especie asociada, lutjanus sp.)","","","","4","0.01549","2.97",0.02167,2.95,NA
"174","Perciformes","Lutjanidae","Lutjanus","novemfasciatus","Lutjanus novemfasciatus","Pargo","GdC","","x","","NO","","","","","x","","","Huachinango y Pargos (Especie Objetivo) ","","","","4.1","0.01862","2.99",0.02226,2.935,NA
"175","Perciformes","Lutjanidae","Lutjanus","viridis","Lutjanus viridis","Pargo rayado","GdC","","x","","NO","","","","","x","","","Huachinango y Pargos (Especie Objetivo) ","","","","4.2","0.01413","2.98",NA,NA,NA
"176","Perciformes","Gobiidae","Lythrypnus","dalli","Lythrypnus dalli","Gobio/ Gobio bonito","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.2","0.00851","3.05",0.00992,2.973,NA
"177","Perciformes","Labrisomidae","Malacoctenus","ebisui","Malacoctenus ebisui","Blenia/Tirambollo dorado","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.5","0.00933","3.03",NA,NA,NA
"178","Perciformes","Labrisomidae","Malacoctenus","margaritae","Malacoctenus margaritae","Blenia margarita/ Trambollo margarita","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.5","0.00933","3.03",NA,NA,NA
"179","Myliobatiformes","Myliobatidae","Manta ","birostris","Manta birostris","Mantaraya/ Manta gigante","GdC","","x","","NO","","","x","","","","","NINGUNO","","","","3.5","ND","ND",0.011355,3,NA
"180","Tetraodontiformes","Balistidae","Melichthys ","niger","Melichthys niger","Cochito negro/Puerco negro","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.4","0.02344","2.96",NA,NA,2.39
"181","Tetraodontiformes","Balistidae","Melichthys ","niger","Melichthys niger","Cochito negro/Puerco negro","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.4","0.02344","2.96",NA,NA,2.39
"182","Perciformes","Haemulidae","Microlepidotus","inornatus ","Microlepidotus inornatus","Ronco rayadillo","GdC","","x","","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","3.6","0.01122","2.94",0.0151,2.93,NA
"183","Perciformes","Pomacentridae","Microspathodon "," bairdii","Microspathodon bairdii","Jaqueta vistosa","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.5","0.02138","2.99",NA,NA,NA
"184","Perciformes","Pomacentridae","Microspathodon ","dorsalis","Microspathodon dorsalis","Jaqueta gigante","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","2.1","0.02138","2.99",NA,NA,NA
"185","Mugiliformes","Mugilidae","Mugil ","curema","Mugil curema","Lisa blanca/Lisa","GdC","","x","","NO","","","","","x","","","Lisas (Mugilidae)(Especie Objetivo)","","","","2","0.01202","2.95",0.0232227777777778,2.8745,2.01
"186","Perciformes","Mullidae","Mulloidichthys","dentatus","Mulloidichthys dentatus","Chivo amarillo/ Chivo barbón/Chivo rayado","GdC","","x","x","NO","","","","","x","","","Lisas (Mugilidae)(Especie Asociada)","","","","3.7","0.00955","3.11",NA,NA,NA
"187","Anguilliformes","Muraenidae","Muraena","lentiginosa","Muraena lentiginosa","Morena pinta","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.9","0.00112","3.07",NA,NA,NA
"188","Perciformes","Serranidae","Mycteroperca","jordani","Mycteroperca jordani","Baya","GdC","x","x","","NO","","x","","","","","","Huachinango y pargos (Especie Asociada)","","","","4.5","ND","ND",0.01873,3,NA
"189","Perciformes","Serranidae","Mycteroperca","jordani","Mycteroperca jordani","Baya","GdC","x","x","","NO","","x","","","","","","Huachinango y pargos (Especie Asociada)","","","","4.5","ND","ND",0.01873,3,NA
"190","Perciformes","Serranidae","Mycteroperca","prionura","Mycteroperca prionura","Cabrilla chiruda / Garropa aserrada / Cabrilla pinta","GdC","x","x","","NO","","","","x","","","","NINGUNO","","","","4.4","ND","ND",0.012,3,NA
"191","Perciformes","Serranidae","Mycteroperca","rosacea","Mycteroperca rosacea","Cabrilla sardinera","GdC","x","x","x","NO","","","x","","","","","Huachinango y pargos (Especie Asociada)","","","","4.5","ND","ND",0.01413,2.985,NA
"192","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","Raya gavilán/Raya muerciélago/Tecolote","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.2","0.00389","3.09",NA,NA,3.24
"193","Beryciformes","Holocentridae","Myripristis","leiognathus ","Myripristis leiognathus","Soldado panámico","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.1","0.01622","3.19",0.00534,3.613,NA
"194","Torpediniformes","Narcinidae","Narcine","entemedor","Narcine entemedor ","Raya eléctrica gigante","GdC","","x","","NO","","","","","","x","","NINGUNO","","","","3","0.01023","2.83",NA,NA,NA
"195","Perciformes","Scaridae","Nicholsina","denticulata","Nicholsina denticulata","Perico baboso","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","2","0.01047","3.08",NA,NA,NA
"196","Perciformes","Blenniidae","Ophioblennius","steindachneri","Ophioblennius steindachneri","Borracho mono","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2.7","0.00977","2.99",0.0115,2.933,NA
"197","Perciformes","Opistognathidae","Opistognathus","mexicanus","Opistognathus mexicanus","Bocón mexicano","GdC","","","","NO","","","","","","","x","NINGUNO","","","","3.5","0.00389","3.12",NA,NA,NA
"198","Perciformes","Opistognathidae","Opistognathus","punctatus","Opistognathus punctatus","Boca grande/Bocón punteado","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.8","ND","ND",0.01525,3,NA
"199","Perciformes","Opistognathidae","Opistognathus","rosenblatti","Opistognathus rosenblatti","Bocón azul/Bocón manchas azules","GdC","","","x","SI","","","","","x","","","NINGUNO","","x","","3.5","0.00389","3.12",NA,NA,NA
"200","Tetraodontiformes","Ostraciidae","Ostracion","meleagris","Ostracion meleagris","Cofre manchado/Cofre moteado","GdC","","","x","NO","","","","","","","x","NINGUNO","","","","2.7","0.03631","2.81",NA,NA,NA
"201","Perciformes","Cirrhitidae","Oxycirrhites","typus","Oxycirrhites typus","Halcón narigón ","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.3","0.00389","3.12",NA,NA,NA
"202","Perciformes","Serranidae","Paralabrax","auroguttatus","Paralabrax auroguttatus","Extranjero","GdC","","x","","NO","","","","","","x","","Huachinango y pargos (Especie Asociada)","","","","4.2","ND","ND",0.0146,3,NA
"203","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","Cabrilla arenera","GdC","","x","","NO","","","","","x","","","Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada)","","","","4.2","0.01585","3.08",0.0264,2.9575,NA
"204","Perciformes","Serranidae","Paranthias","colonus","Paranthias colonus","Sandía","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.8","0.01122","3.05",0.0148,2.863,NA
"205","Perciformes","Sciaenidae","Pareques","fuscovittatus","Pareques fuscovittatus","Payasito lindo","GdC","","x","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.00331","3.18",NA,NA,NA
"206","Perciformes","Blenniidae","Plagiotremus","azaleus ","Plagiotremus azaleus","Blenia/Diente sable","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.4","0.00537","3.05",NA,NA,NA
"207","Perciformes","Pomacentridae","Pomacanthus","zonipectus","Pomacanthus zonipectus","Ángel de Cortés","GdC","","","x","SI","","","","","x","","","NINGUNO","","","","3.1","0.0309","2.9",NA,NA,NA
"208","Perciformes","Acanthuridae","Prionurus ","laticlavius","Prionurus laticlavius","Cirujano barbero/Cochinito barbero","GdC","","","","NO","","","","","x","","","NINGUNO","","","","2.7","0.01995","3.01",NA,NA,NA
"209","Perciformes","Acanthuridae","Prionurus ","punctatus","Prionurus punctatus","cirujanom cochinito/ cochinito","GdC","","","x","NO","","","","","x","","","NINGUNO","","","x","2","0.01995","3.01",NA,NA,NA
"210","Tetraodontiformes","Balistidae","Pseudobaliste","naufragium ","Pseudobalistes naufragium","Cochito bota/Puerco de piedra","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.4","0.02344","2.96",NA,NA,NA
"211","Myliobatiformes","Myliobatidae","Rhinoptera","steindachneri ","Rhinoptera steindachneri","Gavilán Dorado/Gavilán negro","GdC","","x","","NO","","","","x","","","","Huachinango y pargos (Especie Asociada)","","","","3.6","0.01","3.04",NA,NA,NA
"212","Perciformes","Serranidae","Rypticus ","bicolor","Rypticus bicolor","Pez jabón/ Jabonero moteado","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4","0.01698","3.01",NA,NA,NA
"213","Rajiformes","Rhinobatidae","Rhinobatos","productus","Rhinobatos productus","Guitarra viola","GdC","","x","","NO","","","","x","","","","NINGUNO","","","","3.6","ND","ND",0.00396,3,3.59
"214","Rajiformes","Rhinobatidae","Rhinobatos","productus","Rhinobatos productus","Guitarra viola","GdC","","x","","NO","","","","x","","","","NINGUNO","","","","3.6","ND","ND",0.00396,3,3.59
"215","Perciformes","Serranidae","Rypticus ","nigripinnis ","Rypticus nigripinnis","Jabonero negrillo","GdC","","","","NO","","","","","x","","","NINGUNO","","","","3.8","0.01698","3.01",0.011,3.043,NA
"216","Beryciformes","Holocentridae","Sargocentron","suborbitale ","Sargocentron suborbitale","Candil sol","GdC","","","","NO","","","","","","","x","NINGUNO","","","","3.5","0.01514","2.98",NA,NA,NA
"217","Perciformes","Scaridae","Scarus","compressus","Scarus compressus","Loro","GdC","","","x","NO","","","","","x","","","NINGUNO","","","x","2","0.01413","3.04",NA,NA,NA
"218","Perciformes","Scaridae","Scarus","ghobban","Scarus ghobban","Loro","GdC","","x","","NO","","","","","x","","","NINGUNO","","","x","2","0.01259","3.01",0.0189,3.00305333333333,2
"219","Perciformes","Scaridae","Scarus","perrico","Scarus perrico","Loro jorobado","GdC","","x","","NO","","","","","x","","","NINGUNO","","","x","2","0.00389","3.12",NA,NA,NA
"220","Perciformes","Scaridae","Scarus ","rubroviolaceus ","Scarus rubroviolaceus","Loro bicolor","GdC","","","x","NO","","","","","x","","","NINGUNO","","","x","2","0.01288","3.04",0.0136,3.109,NA
"221","Perciformes","Scombridae","Scomberomorus","sierra ","Scomberomorus sierra","Sierra / Sierra del Pacífico","GdC","","x","","NO","","","","","x","","","Sierras (Scombridae)(Especie Objetivo)","","","","4.5","0.00646","2.99",0.006705,2.9915,4.49
"222","Scorpaeniformes","Scorpaenidae","Scorpaena","mystes","Scorpaena mystes","Lupón / Pes escorpión ","GdC","","x","x","NO","","","","","x","","","Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada)","","","","3.9","0.01318","3.02",NA,NA,NA
"223","Anguilliformes","Muraenidae","Scuticaria","tigrina","Scuticaria tigrina","Morena atigrada/ Morena atigrada de arrecifes","GdC","","","","NO","","","","","","","x","NINGUNO","","","","3.8","0.00102","3.06",NA,NA,NA
"224","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","Vieja californiana","GdC","","x","","NO","","","x","","","","","Rocotes (Especies asociadas)","","","","3.6","ND","ND",0.0289,3,NA
"225","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","Vieja californiana","GdC","","x","","NO","","","x","","","","","Rocotes (Especies asociadas)","","","","3.6","ND","ND",0.0289,3,NA
"226","Perciformes","Carangidae","Seriola","lalandi","Seriola lalandi","Jurel aleta amarilla","GdC","x","x","","NO","","","","","x","","","Sierras (Scombridae)(Especie Asociada)","","","","4.2","0.01778","2.94",0.040975,2.766,4.16
"227","Perciformes","Carangidae","Seriola ","rivoliana ","Seriola rivoliana","Medregal limón/ Pez fuerte","GdC","","","x","NO","","","","","x","","","Sierras (Scombridae)(Especie Asociada)","","","","4.5","0.01862","2.98",0.021992,2.9532,4.45
"228","Perciformes","Serranidae","Serranus","psittacinus","Serranus psittacinus","Cabrilla falsa / Serrano rayado","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.01072","3.06",NA,NA,NA
"229","Tetraodontiformes","Tetraodontidae","Sphoeroides","annulatus","Sphoeroides annulatus","Botete diana","GdC","","x","x","NO","","","","","x","","","Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada); Lisas (Mugilidae)(Especie Asociada)","","","","3.1","0.02692","2.85",0.242333333333333,2.50366666666667,NA
"230","Tetraodontiformes","Tetraodontidae","Sphoeroides","lobatus","Sphoeroides lobatus","Botete verrugoso / Botete peruano/tamborín","GdC","","x","","NO","","","","","x","","","NINGUNO","","","","3.5","0.0263","2.85",0.0510666666666667,2.70966666666667,NA
"231","Perciformes","Pomacentridae","Stegastes","acapulcoensis","Stegastes acapulcoensis","Damisela acapulqueña","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2","0.01995","2.99",NA,NA,NA
"232","Perciformes","Pomacentridae","Stegastes","flavilatus","Stegastes flavilatus","Jaqueta de dos colores","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2","0.01995","2.99",NA,NA,NA
"233","Perciformes","Pomacentridae","Stegastes","leucorus ","Stegastes leucorus","Jaqueta rabo blanco","GdC","","","x","NO","","","x","","","","","NINGUNO","","","","ND","0.01995","2.99",NA,NA,NA
"234","Perciformes","Pomacentridae","Stegastes","rectifraenum","Stegastes rectifraenum","Damisela / Damisela de Cortés","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","2","0.01549","2.97",0.0181,3.076,NA
"235","Tetraodontiformes","Balistidae","Sufflamen","verres","Sufflamen verres","Cochito naranja","GdC","","x","x","NO","","","","","x","","","Huachinango y pargos (Especie Asociada)","","","","3.3","0.02344","2.96",NA,NA,NA
"236","Aulopiformes","Synodontidae","Synodus","lacertinus","Synodus lacertinus","Lagarto chile/Chile lagarto","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","4.2","0.0038","3.2",NA,NA,NA
"237","Perciformes","Labridae","Thalassoma","grammaticum","Thalassoma grammaticum","Señorita crepúsculo/Vieja crepúsculo","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00933","3.04",NA,NA,NA
"238","Perciformes","Labridae","Thalassoma","lucasanum","Thalassoma lucasanum","Viejita arcoiris","GdC","","","x","NO","","","","","x","","","NINGUNO","","","","3.5","0.00813","2.99",0.0126,2.878,NA
"239","Perciformes","Carangidae","Trachinotus ","rhodopus","Trachinotus rhodopus","Pámpano","GdC","","x","","NO","","","","","x","","","Sierras (Scombridae)(Especie Asociada); Huachinango y pargos (Especie Asociada); Robalos (Centropomidae)(Especie Asociada)","","","","4","ND","ND",0.0253,3,NA
