Orden ;Familia;Genero;Especie;Genero + Especie;Nombre Común ;Región;Recurso Deportivo;Recurso Pesquero;Recurso Ornamental;NOM-059;Peligro crítico;En Peligro;Vulnerable;Casi Amenazada;Preocupación menor;Listada. Datos deficientes;No Evaluada;Carta Nacional Pesquera (Grupo);Exóticos;Endémicos;Herbívoros ;Nivel Trofico;a;b
Perciformes;Haemulidae;Haemulon;chrysargyreum;Haemulon chrysargyreum;Ronco boca chica;SAM;;;;NO;;;;;x;;;Huachinango y pargo (Especies asociada);;;;3.5;0.01259;2.99
Perciformes;Haemulidae;Haemulon;carbonarium;Haemulon carbonarium;Chac-chi cola negra;SAM;;x;;NO;;;;;x;;;NINGUNO;;;;3.7;0.01738;2.98
Perciformes;Haemulidae;Haemulon;striatum;Haemulon striatum;Ronco rayado;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3.4;ND;ND
Perciformes;Pomacanthidae;Holacanthus;ciliaris;Holacanthus ciliaris;Angel reina;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3;0.0309;2.89
Perciformes;Pomacanthidae;Holacanthus;tricolor;Holacanthus tricolor;Chabelita tricolor;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3;0.03388;2.9
Perciformes;Labridae;Lachnolaimus;maximus;Lachnolaimus maximus;Boquinete;SAM;;x;;NO;;;x;;;;;Huachiango y pargo, Trucha de mar, Sierra y peto (Especie asociada);;;;4.2;0.02138;2.98
Perciformes;Lutjanidae;Lutjanus;apodus;Lutjanus apodus;Pargo amarillo;SAM;;x;;NO;;;;;;;x;Huachinango y pargo (Especies objetivo);;;;4.3;0.01413;2.98
Perciformes;Lutjanidae;Lutjanus;mahogoni;Lutjanus mahogoni;Pargo ojón;SAM;;x;;NO;;;;;;;x;NINGUNO;;;;4.3;0.01698;2.96
Perciformes;Lutjanidae;Lutjanus;griseus;Lutjanus griseus;Pargo mulato;SAM;;x;;NO;;;;;;;x;"Huachinango y pargo (Especie objetivo); Robalo y chucumite, Jurel y cojinuda, Sierra y peto, Mero, negrillo y abadejo, Bandera y bagres (Especie asociada)";;;;4.2;0.01413;2.97
Perciformes;Lutjanidae;Lutjanus;synagris;Lutjanus synagris;Pargo rayado;SAM;;x;;NO;;;;;;;x;"Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Sierra y peto, Mero, negrillo y abadejo, Bandera y bagres (Especie asociada)";;;;3.8;0.01445;2.97
Perciformes;Lutjanidae;Lutjanus;cyanopterus;Lutjanus cyanopterus;Pargo cubera;SAM;;x;;NO;;;x;;;;;"Huachinango y pargo (Especie objetivo); Jurel y cojinuda (Especie asociada)";;;;4.4;ND;ND
Perciformes;Lutjanidae;Lutjanus;analis;Lutjanus analis;Pargo lunar;SAM;;x;;NO;;;x;;;;;"Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Mero, negrillo y abadejo (Especie asociada)";;;;3.9;0.01349;2.97
Perciformes;Lutjanidae;Lutjanus;jocu;Lutjanus jocu;Pargo llorón;SAM;;x;;NO;;;;;;;x;"Huachinango y pargo (Especie objetivo); Jurel y cojinuda, Mero, negrillo y abadejo (Especie asociada)";;;;4.4;0.01514;2.98
Tetraodontiformes;Balistidae;Melichthys ;niger;Melichthys niger;Xcochin negro;SAM;;;;NO;;;;;x;;;NINGUNO;;;;2.4;0.02344;2.95
Perciformes;Pomacentridae;Microspathodon;chrysurus;Microspathodon chrysurus;Damisela cola amarilla;SAM;;;;NO;;;;;x;;;NINGUNO;;;;2.1;0.02291;3.02
Perciformes;Serranidae;Mycteroperca;phenax;Mycteroperca phenax;Escobillo;SAM;;x;;NO;;;;;x;;;NINGUNO;;;;4.5;ND;ND
Perciformes;Serranidae;Mycteroperca;bonaci;Mycteroperca bonaci;Abadejo;SAM;;x;;NO;;;;x;;;;"Mero, negrillo y abadejo (Especie objetivo); Huachinango y pargo (Especie asociada)";;;;4.3;0.01;3.05
Perciformes;Serranidae;Mycteroperca;tigris;Mycteroperca tigris;Mero tigre;SAM;;x;;NO;;;;;x;;;NINGUNO;;;;4.5;0.01096;3.06
Perciformes;Serranidae;Mycteroperca;interstitialis;Mycteroperca interstitialis;Mero boca amarilla;SAM;;x;;NO;;;x;;;;;NINGUNO;;;;4.5;0.00631;3.06
Perciformes;Lutjanidae;Ocyurus;chrysurus;Ocyurus chrysurus;Rubia;SAM;;x;;NO;;;;;;;x;Huachinango y pargo (Especie objetivo), Robalo y chucumite, Trucha de mar, Sierra y peto, Mero, negrillo y abadejo (Especie asociada) ;;;;4;0.01479;2.95
Perciformes;Pomacanthidae;Pomacanthus;arcuatus;Pomacanthus arcuatus;Angel gris;SAM;;;;NO;;;;;x;;;Huachinango y pargo (Especies asociada);;;;3.2;0.03236;2.92
Perciformes;Pomacanthidae;Pomacanthus;paru;Pomacanthus paru;Angel francés;SAM;;;;NO;;;;;x;;;Huachinango y pargo (Especies asociada);;;;2.8;0.0309;2.95
Scorpaeniformes;Scorpaenidae;Pterois;volitans;Pterois volitans;Pez león;SAM;;x;;NO;;;;;;;x;NINGUNO;x;;;4.4;0.01122;3.09
Perciformes;Scaridae;Scarus;coeruleus;Scarus coeruleus;Loro azul;SAM;;;;NO;;;;;x;;;NINGUNO;;;x;2;0.01288;3.04
Perciformes;Scaridae;Scarus;vetula;Scarus vetula;Loro bigotón;SAM;;;;NO;;;;;x;;;NINGUNO;;;x;2;0.0138;3.03
Perciformes;Scaridae;Scarus;coelestinus;Scarus coelestinus;Loro medianoche;SAM;;;;NO;;;;;;x;;NINGUNO;;;x;2;0.01585;3.05
Perciformes;Scombridae;Scomberomorus;regalis;Scomberomorus regalis;Sierra;SAM;;x;;NO;;;;;x;;;Sierra y peto (Especie objetivo);;;;4.5;0.00955;3.01
Perciformes;Scaridae;Sparisoma;viride;Sparisoma viride;Loro lunar;SAM;;;;NO;;;;;x;;;NINGUNO;;;x;2;0.01349;3.04
Perciformes;Scaridae;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;Loro aleta roja;SAM;;;;NO;;;;;x;;;NINGUNO;;;x;2;0.01072;3.12
Perciformes;Sphyraenidae;Sphyraena;barracuda;Sphyraena barracuda;Barracuda;SAM;;x;;NO;;;;;x;;;Huachinango y pargo (Especies asociada);;;;4.5;0.00851;2.92
Perciformes;Labridae;Thalassoma;bifasciatum;Thalassoma bifasciatum;Vieja cabeza azul;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3.3;0.00891;3.01
Perciformes;Serranidae;Epinephelus;itajara;Epinephelus itajara;Cherna;SAM;;x;;NO;x;;;;;;;"Mero, negrillo o abadejo (Especie objetivo); Sierra y peto,  Bandera y bagres (Especie asociada)";;;;4.1;0.01072;3.04
Perciformes;Haemulidae;Anisotremus ;davidsonii;Anisotremus davidsonii;Sargo rayado;PBC;x;x;;NO;;;;;x;;;NINGUNO;;;;3.5;ND;ND
Perciformes;Malacanthidae;Caulolatilus;princeps;Caulolatilus princeps;Pez blanco;PBC;;x;;NO;;;;;x;;;Rocotes (Especies asociadas);;;;3.9;ND;ND
Perciformes;Pomacentridae;Chromis;punctipinnis;Chromis punctipinnis;Castañeta herrera;PBC;;;;NO;;;;;x;;;NINGUNO;;;;2.7;0.01514;2.99
Perciformes;Embiotocidae;Embiotoca;jacksoni;Embiotoca jacksoni;Mojarra negra;PBC;;;;NO;;;;;;;x;NINGUNO;;;;3.3;0.02818;3.03
Perciformes;Kyphosidae;Girella;nigricans;Girella nigricans;Chopa verde;PBC;;x;;NO;;;;;x;;;NINGUNO;;;x;2;0.01585;3.03
Heterodontiformes;Heterodontidae;Heterodontus;francisci;Heterodontus francisci;Tiburón cornudo;PBC;;x;;NO;;;;;;x;;NINGUNO;;;;3.2;0.00389;3.12
Perciformes;Pomacentridae;Hypsypops;rubicundus;Hypsypops rubicundus;Garibaldi;PBC;;;x;NO;;;;;x;;;NINGUNO;;;;3.2;0.02089;3
Perciformes;Serranidae;Mycteroperca;xenarcha;Mycteroperca xenarcha;Garropa jaspeada;PBC;x;x;;NO;;;;;x;;;NINGUNO;;;;4.5;ND;ND
Scorpaeniformes;Hexagrammidae;Ophiodon;elongatus;Ophiodon elongatus;Molva;PBC;;x;;NO;;;;;;;x;Rocotes (Especies asociadas);;;;4.3;ND;ND
Perciformes;Labridae;Oxyjulis;californica;Oxyjulis californica;Señorita;PBC;;;;NO;;;;;x;;;NINGUNO;;;;3.1;0.00447;3.14
Perciformes;Serranidae;Paralabrax;clathratus;Paralabrax clathratus;Cabrilla sargacera;PBC;;x;;NO;;;;;x;;;NINGUNO;;;;3.9;0.00794;3.04
Perciformes;Serranidae;Paralabrax;nebulifer;Paralabrax nebulifer;Verdillo;PBC;;x;;NO;;;;;x;;;Rocotes (Especies asociadas);;;;3.5;ND;ND
Perciformes;Embiotocidae;Rhacochilus;vacca;Rhacochilus vacca;Mojarra muellera ;PBC;;x;;NO;;;;;x;;;NINGUNO;;;;3.4;0.0195;3.02
Rajiformes;Rhinobatidae;Rhinobatos;productus;Rhinobatos productus;Guitarra viola;PBC;;x;;NO;;;;x;;;;Peces marinos de escama: Golfo de México y Caribe (Especies asociadas);;;;3.6;ND;ND
Scorpaeniformes;Cottidae;Scorpaenichthys;marmoratus;Scorpaenichthys marmoratus;Cabezón;PBC;;x;;NO;;;;;;;x;NINGUNO;;;;3.6;ND;ND
Scorpaeniformes;Sebastidae;Sebastes;auriculatus;Sebastes auriculatus;Rocote moreno;PBC;x;x;;NO;;;;;;;x;NINGUNO;;;;4;0.00977;3.07
Scorpaeniformes;Sebastidae;Sebastes;carnatus;Sebastes carnatus;Rocote amarillo;PBC;x;x;;NO;;;;;;;X;NINGUNO;;;;3.6;ND;ND
Scorpaeniformes;Sebastidae;Sebastes;chrysomelas;Sebastes chrysomelas;Rocote mulato;PBC;x;x;;NO;;;;;;;x;NINGUNO;;;;3.5;0.00977;3.08
Scorpaeniformes;Sebastidae;Sebastes;flavidus;Sebastes flavidus;Rocote cola amarilla;PBC;x;x;;NO;;;;;;;x;NINGUNO;;;;4.2;ND;ND
Scorpaeniformes;Sebastidae;Sebastes;rastrelliger;Sebastes rastrelliger;Rocote olivo;PBC;x;x;;NO;;;;;;;x;Rocotes (Especies objetivo);;;;3.9;ND;ND
Scorpaeniformes;Sebastidae;Sebastes;serranoides;Sebastes serranoides;Rocote falsa cabrilla;PBC;x;x;;NO;;;;;;;x;Rocotes (Especies asociadas);;;;4.2;0.00832;3.04
Perciformes;Labridae;Semicossyphus;pulcher;Semicossyphus pulcher;Vieja californiana;PBC;;x;;NO;;;x;;;;;Rocotes (Especies asociadas);;;;3.6;ND;ND
Squatiniformes;Squatinidae;Squatina;californica;Squatina californica;Angelote del Pacífico;PBC;;x;;NO;;;;x;;;;NINGUNO;;;;4.1;0.00741;3.04
Perciformes;Polyprionidae;Stereolepis;gigas;Stereolepis gigas;Mero pescada;PBC;x;x;;NO;x;;;;;;;NINGUNO;;;;4.5;ND;ND
Perciformes;Labridae;Halichoeres;semicinctus;Halichoeres semicinctus;Vieja puntos negros / Señorita roquera;PBC;;;;NO;;;;;x;;;NINGUNO;;;;3.3;0.01;3.08
Perciformes;Serranidae;Mycteroperca;jordani;Mycteroperca jordani;Baya;PBC;x;x;;NO;;x;;;;;;Huachinango y pargos (Especie Asociada);;;;4.5;ND;ND
Perciformes;Pomacentridae;Abudefduf;troschelli;Abudefduf troschelii;Mulegino;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3;0.01995;3
Perciformes;Chaenopsidae;Acanthemblemaria ;crockeri;Acanthemblemaria crockeri;Blenia;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.00468;3
Perciformes;Chaenopsidae;Acanthemblemaria ;hancocki;Acanthemblemaria hancocki;Blenia;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.00457;3.08
Perciformes;Acanthuridae;Acanthurus;nigricans;Acanthurus nigricans;Cirujano cariblanco / Navajon cariblanco;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2;0.02512;2.93
