Orden ;Familia;Genero;Especie;Genero + Especie;Nombre Común ;Región;Recurso Deportivo;Recurso Pesquero;Recurso Ornamental;NOM-059;Peligro crítico;En Peligro;Vulnerable;Casi Amenazada;Preocupación menor;Listada. Datos deficientes;No Evaluada;Carta Nacional Pesquera (Grupo);Exóticos;Endémicos;Herbívoros ;Nivel Trofico;a;b
Perciformes;Haemulidae;Haemulon;sexfasciatum;Haemulon sexfasciatum;Burrito / Burro almejero;GdC;;x;x;NO;;;;;x;;;"Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)";;;;4.2;0.0263;3.01
Perciformes;Haemulidae;Haemulon;steindachneri;Haemulon steindachneri;Burro latino/Ronco chere chere;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.7;0.0138;3.02
Perciformes;Labridae;Halichoeres;chierchiae;Halichoeres chierchiae;Vieja herida / Señorita herida;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.01;3.08
Perciformes;Labridae;Halichoeres;dispilus;Halichoeres dispilus;Vieja boca amarilla / Señorita cocinera;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.9;0.0038;3.1
Perciformes;Labridae;Halichoeres;melanotis;Halichoeres melanotis;Señorita dorada;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.5;0.01;3.08
Perciformes;Labridae;Halichoeres;nicholsi;Halichoeres nicholsi ;Vieja puntos negros;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;4;0.01;3.08
Perciformes;Labridae;Halichoeres;notospilus;Halichoeres notospilus;Vieja turquesa / Señorita listada ;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.01;3.08
Perciformes;Labridae;Halichoeres;semicinctus;Halichoeres semicinctus;Vieja puntos negros / Señorita roquera;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.3;0.01;3.08
Beloniformes;Hemiramphidae;Hemiramphus ;saltator;Hemiramphus saltator;Pajarito agujeta;GdC;;;;NO;;;;;x;;;NINGUNO;;;;4;0.00234;3.16
Anguilliformes;Congridae;Heteroconger ;digueti;Heteroconger digueti;Congrio de cortés;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.00102;3.06
Heterodontiformes;Heterodontidae;Heterodontus;francisci;Heterodontus francisci;Tiburón cornudo;GdC;;x;;NO;;;;;;x;;NINGUNO;;;;3.2;0.00389;3.12
Perciformes;Pomacanthidae;Holacanthus;clarionensis;Holacanthus clarionensis;Ángel/ Ángel de Clarión;GdC;;;x;SI;;;x;;;;;NINGUNO;;x;;2.6;0.02951;2.89
Perciformes;Pomacanthidae;Holacanthus;passer;Holacanthus passer;Ángel rey;GdC;;;x;SI;;;;;x;;;NINGUNO;;;x;2.6;0.03162;2.93
Perciformes;Lutjanidae;Hoplopagrus;guentherii;Hoplopagrus guentherii;Coconaco;GdC;;x;x;NO;;;;;x;;;"Huachinango y pargos (Especie Objetivo); Robalo(Centropomidae)(Especie Asociada)";;;;3.8;ND;ND
Perciformes;Chaetodontidae;Johnrandallia;nigrirostris;Johnrandallia nigrirostris;Mariposa nariz negra;GdC;;;x;NO;;;;;x;;;NINGUNO;;;x;3;0.02754;3.09
Perciformes;Kyphosidae;Kyphosus;analogus;Kyphosus analogus;Chopa / Copa gris o rayada ;GdC;;x;;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;2;0.01778;3.01
Perciformes;Kyphosidae;Kyphosus;elegans;Kyphosus elegans;Chopa de Cortés;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;2.9;0.01778;3.01
Perciformes;Kyphosidae;Kyphosus;ocyurus;Kyphosus ocyurus;Chopa selema;GdC;;;;NO;;;;;;;x;NINGUNO;;;;3.5;0.0123;3.02
Perciformes;Labrisomidae;Labrisomus;xanti;Labrisomus xanti;Blenia bocona/Chalapo;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.01;3.07
Perciformes;Lutjanidae;Lutjanus;argentiventris;Lutjanus argentiventris;Pargo amarillo;GdC;x;x;x;NO;;;;;x;;;"Huachinango y pargos (Especie Objetivo); Ostión (Especie asociada, lutjanus sp.)";;;;4;0.01549;2.97
Perciformes;Lutjanidae;Lutjanus;novemfasciatus;Lutjanus novemfasciatus;Pargo;GdC;;x;;NO;;;;;x;;;Huachinango y Pargos (Especie Objetivo) ;;;;4.1;0.01862;2.99
Perciformes;Lutjanidae;Lutjanus;viridis;Lutjanus viridis;Pargo rayado;GdC;;x;;NO;;;;;x;;;Huachinango y Pargos (Especie Objetivo) ;;;;4.2;0.01413;2.98
Perciformes;Gobiidae;Lythrypnus;dalli;Lythrypnus dalli;Gobio/ Gobio bonito;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.2;0.00851;3.05
Perciformes;Labrisomidae;Malacoctenus;ebisui;Malacoctenus ebisui;Blenia/Tirambollo dorado;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.5;0.00933;3.03
Perciformes;Labrisomidae;Malacoctenus;margaritae;Malacoctenus margaritae;Blenia margarita/ Trambollo margarita;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.5;0.00933;3.03
Myliobatiformes;Myliobatidae;Manta ;birostris;Manta birostris;Mantaraya/ Manta gigante;GdC;;x;;NO;;;x;;;;;NINGUNO;;;;3.5;ND;ND
Tetraodontiformes;Balistidae;Melichthys ;niger;Melichthys niger;Cochito negro/Puerco negro;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2.4;0.02344;2.96
Perciformes;Haemulidae;Microlepidotus;inornatus ;Microlepidotus inornatus;Ronco rayadillo;GdC;;x;;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;3.6;0.01122;2.94
Perciformes;Pomacentridae;Microspathodon ; bairdii;Microspathodon bairdii;Jaqueta vistosa;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2.5;0.02138;2.99
Perciformes;Pomacentridae;Microspathodon ;dorsalis;Microspathodon dorsalis;Jaqueta gigante;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;2.1;0.02138;2.99
Mugiliformes;Mugilidae;Mugil ;curema;Mugil curema;Lisa blanca/Lisa;GdC;;x;;NO;;;;;x;;;Lisas (Mugilidae)(Especie Objetivo);;;;2;0.01202;2.95
Perciformes;Mullidae;Mulloidichthys;dentatus;Mulloidichthys dentatus;Chivo amarillo/ Chivo barbón/Chivo rayado;GdC;;x;x;NO;;;;;x;;;Lisas (Mugilidae)(Especie Asociada);;;;3.7;0.00955;3.11
Anguilliformes;Muraenidae;Muraena;lentiginosa;Muraena lentiginosa;Morena pinta;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.9;0.00112;3.07
Perciformes;Serranidae;Mycteroperca;jordani;Mycteroperca jordani;Baya;GdC;x;x;;NO;;x;;;;;;Huachinango y pargos (Especie Asociada);;;;4.5;ND;ND
Perciformes;Serranidae;Mycteroperca;prionura;Mycteroperca prionura;Cabrilla chiruda / Garropa aserrada / Cabrilla pinta;GdC;x;x;;NO;;;;x;;;;NINGUNO;;;;4.4;ND;ND
Perciformes;Serranidae;Mycteroperca;rosacea;Mycteroperca rosacea;Cabrilla sardinera;GdC;x;x;x;NO;;;x;;;;;Huachinango y pargos (Especie Asociada);;;;4.5;ND;ND
Myliobatiformes;Myliobatidae;Myliobatis;californica;Myliobatis californica;Raya gavilán/Raya muerciélago/Tecolote;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;3.2;0.00389;3.09
Beryciformes;Holocentridae;Myripristis;leiognathus ;Myripristis leiognathus;Soldado panámico;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.1;0.01622;3.19
Torpediniformes;Narcinidae;Narcine;entemedor;Narcine entemedor ;Raya eléctrica gigante;GdC;;x;;NO;;;;;;x;;NINGUNO;;;;3;0.01023;2.83
Perciformes;Scaridae;Nicholsina;denticulata;Nicholsina denticulata;Perico baboso;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;2;0.01047;3.08
Perciformes;Blenniidae;Ophioblennius;steindachneri;Ophioblennius steindachneri;Borracho mono;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2.7;0.00977;2.99
Perciformes;Opistognathidae;Opistognathus;mexicanus;Opistognathus mexicanus;Bocón mexicano;GdC;;;;NO;;;;;;;x;NINGUNO;;;;3.5;0.00389;3.12
Perciformes;Opistognathidae;Opistognathus;punctatus;Opistognathus punctatus;Boca grande/Bocón punteado;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.8;ND;ND
Perciformes;Opistognathidae;Opistognathus;rosenblatti;Opistognathus rosenblatti;Bocón azul/Bocón manchas azules;GdC;;;x;SI;;;;;x;;;NINGUNO;;x;;3.5;0.00389;3.12
Tetraodontiformes;Ostraciidae;Ostracion;meleagris;Ostracion meleagris;Cofre manchado/Cofre moteado;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;2.7;0.03631;2.81
Perciformes;Cirrhitidae;Oxycirrhites;typus;Oxycirrhites typus;Halcón narigón ;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.3;0.00389;3.12
Perciformes;Serranidae;Paralabrax;auroguttatus;Paralabrax auroguttatus;Extranjero;GdC;;x;;NO;;;;;;x;;Huachinango y pargos (Especie Asociada);;;;4.2;ND;ND
Perciformes;Serranidae;Paralabrax;maculatofasciatus;Paralabrax maculatofasciatus;Cabrilla arenera;GdC;;x;;NO;;;;;x;;;"Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada)";;;;4.2;0.01585;3.08
Perciformes;Serranidae;Paranthias;colonus;Paranthias colonus;Sandía;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.8;0.01122;3.05
Perciformes;Sciaenidae;Pareques;fuscovittatus;Pareques fuscovittatus;Payasito lindo;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.00331;3.18
Perciformes;Blenniidae;Plagiotremus;azaleus ;Plagiotremus azaleus;Blenia/Diente sable;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.4;0.00537;3.05
Perciformes;Pomacentridae;Pomacanthus;zonipectus;Pomacanthus zonipectus;Ángel de Cortés;GdC;;;x;SI;;;;;x;;;NINGUNO;;;;3.1;0.0309;2.9
Perciformes;Acanthuridae;Prionurus ;laticlavius;Prionurus laticlavius;Cirujano barbero/Cochinito barbero;GdC;;;;NO;;;;;x;;;NINGUNO;;;;2.7;0.01995;3.01
Perciformes;Acanthuridae;Prionurus ;punctatus;Prionurus punctatus;cirujanom cochinito/ cochinito;GdC;;;x;NO;;;;;x;;;NINGUNO;;;x;2;0.01995;3.01
Tetraodontiformes;Balistidae;Pseudobaliste;naufragium ;Pseudobalistes naufragium;Cochito bota/Puerco de piedra;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.4;0.02344;2.96
Myliobatiformes;Myliobatidae;Rhinoptera;steindachneri ;Rhinoptera steindachneri;Gavilán Dorado/Gavilán negro;GdC;;x;;NO;;;;x;;;;Huachinango y pargos (Especie Asociada);;;;3.6;0.01;3.04
Perciformes;Serranidae;Rypticus ;bicolor;Rypticus bicolor;Pez jabón/ Jabonero moteado;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4;0.01698;3.01
Rajiformes;Rhinobatidae;Rhinobatos;productus;Rhinobatos productus;Guitarra viola;GdC;;x;;NO;;;;x;;;;NINGUNO;;;;3.6;ND;ND
Perciformes;Serranidae;Rypticus ;nigripinnis ;Rypticus nigripinnis;Jabonero negrillo;GdC;;;;NO;;;;;x;;;NINGUNO;;;;3.8;0.01698;3.01
Beryciformes;Holocentridae;Sargocentron;suborbitale ;Sargocentron suborbitale;Candil sol;GdC;;;;NO;;;;;;;x;NINGUNO;;;;3.5;0.01514;2.98
Perciformes;Scaridae;Scarus;compressus;Scarus compressus;Loro;GdC;;;x;NO;;;;;x;;;NINGUNO;;;x;2;0.01413;3.04
Perciformes;Scaridae;Scarus;ghobban;Scarus ghobban;Loro;GdC;;x;;NO;;;;;x;;;NINGUNO;;;x;2;0.01259;3.01
Perciformes;Scaridae;Scarus;perrico;Scarus perrico;Loro jorobado;GdC;;x;;NO;;;;;x;;;NINGUNO;;;x;2;0.00389;3.12
Perciformes;Scaridae;Scarus ;rubroviolaceus ;Scarus rubroviolaceus;Loro bicolor;GdC;;;x;NO;;;;;x;;;NINGUNO;;;x;2;0.01288;3.04
Perciformes;Scombridae;Scomberomorus;sierra ;Scomberomorus sierra;Sierra / Sierra del Pacífico;GdC;;x;;NO;;;;;x;;;Sierras (Scombridae)(Especie Objetivo);;;;4.5;0.00646;2.99
Scorpaeniformes;Scorpaenidae;Scorpaena;mystes;Scorpaena mystes;Lupón / Pes escorpión ;GdC;;x;x;NO;;;;;x;;;"Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada)";;;;3.9;0.01318;3.02
Anguilliformes;Muraenidae;Scuticaria;tigrina;Scuticaria tigrina;Morena atigrada/ Morena atigrada de arrecifes;GdC;;;;NO;;;;;;;x;NINGUNO;;;;3.8;0.00102;3.06
Perciformes;Labridae;Semicossyphus;pulcher;Semicossyphus pulcher;Vieja californiana;GdC;;x;;NO;;;x;;;;;Rocotes (Especies asociadas);;;;3.6;ND;ND
Perciformes;Carangidae;Seriola;lalandi;Seriola lalandi;Jurel aleta amarilla;GdC;x;x;;NO;;;;;x;;;Sierras (Scombridae)(Especie Asociada);;;;4.2;0.01778;2.94
Perciformes;Carangidae;Seriola ;rivoliana ;Seriola rivoliana;Medregal limón/ Pez fuerte;GdC;;;x;NO;;;;;x;;;Sierras (Scombridae)(Especie Asociada);;;;4.5;0.01862;2.98
Perciformes;Serranidae;Serranus;psittacinus;Serranus psittacinus;Cabrilla falsa / Serrano rayado;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.01072;3.06
Tetraodontiformes;Tetraodontidae;Sphoeroides;annulatus;Sphoeroides annulatus;Botete diana;GdC;;x;x;NO;;;;;x;;;"Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada); Lisas (Mugilidae)(Especie Asociada)";;;;3.1;0.02692;2.85
Tetraodontiformes;Tetraodontidae;Sphoeroides;lobatus;Sphoeroides lobatus;Botete verrugoso / Botete peruano/tamborín;GdC;;x;;NO;;;;;x;;;NINGUNO;;;;3.5;0.0263;2.85
Perciformes;Pomacentridae;Stegastes;acapulcoensis;Stegastes acapulcoensis;Damisela acapulqueña;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2;0.01995;2.99
Perciformes;Pomacentridae;Stegastes;flavilatus;Stegastes flavilatus;Jaqueta de dos colores;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2;0.01995;2.99
Perciformes;Pomacentridae;Stegastes;leucorus ;Stegastes leucorus;Jaqueta rabo blanco;GdC;;;x;NO;;;x;;;;;NINGUNO;;;;ND;0.01995;2.99
Perciformes;Pomacentridae;Stegastes;rectifraenum;Stegastes rectifraenum;Damisela / Damisela de Cortés;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;2;0.01549;2.97
Tetraodontiformes;Balistidae;Sufflamen;verres;Sufflamen verres;Cochito naranja;GdC;;x;x;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;3.3;0.02344;2.96
Aulopiformes;Synodontidae;Synodus;lacertinus;Synodus lacertinus;Lagarto chile/Chile lagarto;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.2;0.0038;3.2
Perciformes;Labridae;Thalassoma;grammaticum;Thalassoma grammaticum;Señorita crepúsculo/Vieja crepúsculo;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.00933;3.04
Perciformes;Labridae;Thalassoma;lucasanum;Thalassoma lucasanum;Viejita arcoiris;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.00813;2.99
Perciformes;Carangidae;Trachinotus ;rhodopus;Trachinotus rhodopus;Pámpano;GdC;;x;;NO;;;;;x;;;"Sierras (Scombridae)(Especie Asociada); Huachinango y pargos (Especie Asociada); Robalos (Centropomidae)(Especie Asociada)";;;;4;ND;ND
Myliobatiformes;Urotrygonidae;Urobatis;concentricus;Urobatis concentricus;Manta redonda;GdC;;x;;NO;;;;;;x;;Jaiba (Especie Asociada);;;;3.3;0.00708;3.06
Perciformes;Zanclidae;Zanclus ;cornutus;Zanclus cornutus;Ídolo moro;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;2.5;0.01738;3.06
